loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second
1.6905,1.3949295282363892,9.799999999999998e-05,0.1,50,,,,,,,,,,,,,,,,,,,,,
1.4242,3.162240505218506,0.000198,0.2,100,,,,,,,,,,,,,,,,,,,,,
0.9821,2.7274441719055176,0.000298,0.3,150,,,,,,,,,,,,,,,,,,,,,
0.7594,2.2446422576904297,0.0002937446808510638,0.4,200,,,,,,,,,,,,,,,,,,,,,
0.6185,2.910107135772705,0.00028736170212765954,0.5,250,,,,,,,,,,,,,,,,,,,,,
0.5114,2.377997636795044,0.0002809787234042553,0.6,300,,,,,,,,,,,,,,,,,,,,,
0.4814,2.5048205852508545,0.00027459574468085104,0.7,350,,,,,,,,,,,,,,,,,,,,,
0.4357,2.792858600616455,0.0002682127659574468,0.8,400,,,,,,,,,,,,,,,,,,,,,
0.4144,2.608462333679199,0.00026182978723404254,0.9,450,,,,,,,,,,,,,,,,,,,,,
0.4017,2.221043825149536,0.00025544680851063826,1.0,500,,,,,,,,,,,,,,,,,,,,,
,,,1.0,500,0.2889097332954407,0.894,0.8728795791063483,0.8773759512748143,0.8750366810495528,1.743,1147.426,36.144,,,,,,,,,,,,,
0.3158,3.0057296752929688,0.00024906382978723404,1.1,550,,,,,,,,,,,,,,,,,,,,,
0.3278,3.2171287536621094,0.00024268085106382976,1.2,600,,,,,,,,,,,,,,,,,,,,,
0.2821,2.591062545776367,0.0002362978723404255,1.3,650,,,,,,,,,,,,,,,,,,,,,
0.2734,4.077807426452637,0.00022991489361702124,1.4,700,,,,,,,,,,,,,,,,,,,,,
0.2975,3.2348787784576416,0.000223531914893617,1.5,750,,,,,,,,,,,,,,,,,,,,,
0.2496,2.845264434814453,0.00021714893617021276,1.6,800,,,,,,,,,,,,,,,,,,,,,
0.2801,2.5576813220977783,0.0002107659574468085,1.7,850,,,,,,,,,,,,,,,,,,,,,
0.2671,2.169985294342041,0.0002043829787234042,1.8,900,,,,,,,,,,,,,,,,,,,,,
0.3091,2.627657413482666,0.000198,1.9,950,,,,,,,,,,,,,,,,,,,,,
0.2416,3.984814167022705,0.00019161702127659574,2.0,1000,,,,,,,,,,,,,,,,,,,,,
,,,2.0,1000,0.21322619915008545,0.9155,0.8919852857020069,0.8863032588633769,0.8877086150974333,0.7131,2804.515,88.342,,,,,,,,,,,,,
0.2352,2.749189853668213,0.00018523404255319146,2.1,1050,,,,,,,,,,,,,,,,,,,,,
0.2069,2.131434679031372,0.00017885106382978724,2.2,1100,,,,,,,,,,,,,,,,,,,,,
0.1863,2.8405704498291016,0.00017246808510638296,2.3,1150,,,,,,,,,,,,,,,,,,,,,
0.2134,4.009850978851318,0.0001660851063829787,2.4,1200,,,,,,,,,,,,,,,,,,,,,
0.2189,1.8382169008255005,0.00015970212765957444,2.5,1250,,,,,,,,,,,,,,,,,,,,,
0.1798,2.0942234992980957,0.00015331914893617021,2.6,1300,,,,,,,,,,,,,,,,,,,,,
0.2153,2.501481294631958,0.00014693617021276594,2.7,1350,,,,,,,,,,,,,,,,,,,,,
0.1752,2.9906084537506104,0.0001405531914893617,2.8,1400,,,,,,,,,,,,,,,,,,,,,
0.2111,2.98702335357666,0.00013417021276595744,2.9,1450,,,,,,,,,,,,,,,,,,,,,
