loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second
1.748,4.773177623748779,1.6333333333333335e-05,0.1,50,,,,,,,,,,,,,,,,,,,,,
1.6295,3.193190336227417,3.3e-05,0.2,100,,,,,,,,,,,,,,,,,,,,,
1.5836,2.41518497467041,4.966666666666667e-05,0.3,150,,,,,,,,,,,,,,,,,,,,,
1.6012,4.347227096557617,4.895744680851064e-05,0.4,200,,,,,,,,,,,,,,,,,,,,,
1.5656,4.36264705657959,4.78936170212766e-05,0.5,250,,,,,,,,,,,,,,,,,,,,,
1.564,4.673369884490967,4.682978723404256e-05,0.6,300,,,,,,,,,,,,,,,,,,,,,
1.3897,5.957783222198486,4.576595744680851e-05,0.7,350,,,,,,,,,,,,,,,,,,,,,
1.0341,4.930337905883789,4.4702127659574474e-05,0.8,400,,,,,,,,,,,,,,,,,,,,,
0.8821,5.300764560699463,4.3638297872340425e-05,0.9,450,,,,,,,,,,,,,,,,,,,,,
0.7988,4.978252410888672,4.2574468085106384e-05,1.0,500,,,,,,,,,,,,,,,,,,,,,
,,,1.0,500,0.7083336710929871,0.7445,0.7100801849035469,0.664024858923011,0.679439733292459,2.0931,955.498,30.098,,,,,,,,,,,,,
0.7196,4.473735809326172,4.151063829787234e-05,1.1,550,,,,,,,,,,,,,,,,,,,,,
0.6836,8.776721954345703,4.04468085106383e-05,1.2,600,,,,,,,,,,,,,,,,,,,,,
0.6317,6.7050909996032715,3.938297872340426e-05,1.3,650,,,,,,,,,,,,,,,,,,,,,
0.6062,7.194432258605957,3.831914893617021e-05,1.4,700,,,,,,,,,,,,,,,,,,,,,
0.6152,5.52121114730835,3.7255319148936176e-05,1.5,750,,,,,,,,,,,,,,,,,,,,,
0.5398,6.636305332183838,3.619148936170213e-05,1.6,800,,,,,,,,,,,,,,,,,,,,,
0.5513,5.877226829528809,3.5127659574468086e-05,1.7,850,,,,,,,,,,,,,,,,,,,,,
0.5392,5.883525848388672,3.4063829787234044e-05,1.8,900,,,,,,,,,,,,,,,,,,,,,
0.5161,6.837259292602539,3.3e-05,1.9,950,,,,,,,,,,,,,,,,,,,,,
0.5328,4.794743537902832,3.193617021276596e-05,2.0,1000,,,,,,,,,,,,,,,,,,,,,
,,,2.0,1000,0.43885618448257446,0.848,0.816292198021244,0.7887592017238555,0.8010077069950836,1.347,1484.8,46.771,,,,,,,,,,,,,
0.5145,5.063246250152588,3.087234042553191e-05,2.1,1050,,,,,,,,,,,,,,,,,,,,,
0.4919,5.848381519317627,2.9808510638297878e-05,2.2,1100,,,,,,,,,,,,,,,,,,,,,
0.4394,6.093259811401367,2.8744680851063833e-05,2.3,1150,,,,,,,,,,,,,,,,,,,,,
0.445,6.390595436096191,2.7680851063829788e-05,2.4,1200,,,,,,,,,,,,,,,,,,,,,
0.4734,5.785773754119873,2.6617021276595743e-05,2.5,1250,,,,,,,,,,,,,,,,,,,,,
0.4057,10.821765899658203,2.5553191489361705e-05,2.6,1300,,,,,,,,,,,,,,,,,,,,,
0.4344,6.611294746398926,2.448936170212766e-05,2.7,1350,,,,,,,,,,,,,,,,,,,,,
0.4195,7.854704856872559,2.3425531914893618e-05,2.8,1400,,,,,,,,,,,,,,,,,,,,,
0.448,7.077194690704346,2.2361702127659576e-05,2.9,1450,,,,,,,,,,,,,,,,,,,,,
0.4034,7.427487373352051,2.1297872340425535e-05,3.0,1500,,,,,,,,,,,,,,,,,,,,,
,,,3.0,1500,0.3570176661014557,0.872,0.8309696063287343,0.8334523899563399,0.8319255257748651,1.3816,1447.629,45.6,,,,,,,,,,,,,
0.383,5.523303508758545,2.023404255319149e-05,3.1,1550,,,,,,,,,,,,,,,,,,,,,
0.4111,15.307969093322754,1.9170212765957448e-05,3.2,1600,,,,,,,,,,,,,,,,,,,,,
0.3459,5.996444225311279,1.8106382978723403e-05,3.3,1650,,,,,,,,,,,,,,,,,,,,,
0.3981,5.524075508117676,1.704255319148936e-05,3.4,1700,,,,,,,,,,,,,,,,,,,,,
0.3867,7.077604293823242,1.597872340425532e-05,3.5,1750,,,,,,,,,,,,,,,,,,,,,
0.3901,6.167278289794922,1.4914893617021278e-05,3.6,1800,,,,,,,,,,,,,,,,,,,,,
