loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second
0.7157,9.160430908203125,4.6226415094339625e-05,0.07102272727272728,50,,,,,,,,,,,,,,,,,,,,,
0.6825,4.132071018218994,9.339622641509434e-05,0.14204545454545456,100,,,,,,,,,,,,,,,,,,,,,
0.3626,2.511986494064331,0.00014056603773584907,0.21306818181818182,150,,,,,,,,,,,,,,,,,,,,,
0.2547,7.6970438957214355,0.00018773584905660377,0.2840909090909091,200,,,,,,,,,,,,,,,,,,,,,
0.3012,1.9291635751724243,0.00019776299879081018,0.35511363636363635,250,,,,,,,,,,,,,,,,,,,,,
0.2782,3.4264605045318604,0.00019474002418379686,0.42613636363636365,300,,,,,,,,,,,,,,,,,,,,,
0.243,4.007154941558838,0.00019171704957678356,0.4971590909090909,350,,,,,,,,,,,,,,,,,,,,,
0.2793,2.063825845718384,0.00018869407496977027,0.5681818181818182,400,,,,,,,,,,,,,,,,,,,,,
0.2296,5.008756160736084,0.00018567110036275697,0.6392045454545454,450,,,,,,,,,,,,,,,,,,,,,
0.2614,1.795556664466858,0.00018264812575574367,0.7102272727272727,500,,,,,,,,,,,,,,,,,,,,,
0.2375,5.8879265785217285,0.00017962515114873035,0.78125,550,,,,,,,,,,,,,,,,,,,,,
0.2437,1.6414637565612793,0.00017660217654171708,0.8522727272727273,600,,,,,,,,,,,,,,,,,,,,,
0.2295,4.984097957611084,0.00017357920193470375,0.9232954545454546,650,,,,,,,,,,,,,,,,,,,,,
0.2215,3.5550341606140137,0.00017055622732769046,0.9943181818181818,700,,,,,,,,,,,,,,,,,,,,,
,,,1.0,704,0.22754476964473724,0.9168,0.8776595744680851,0.9608985024958403,0.9173947577442415,2.0575,1215.096,38.397,,,,,,,,,,,,,
0.1837,14.823846817016602,0.00016753325272067716,1.0653409090909092,750,,,,,,,,,,,,,,,,,,,,,
0.2256,2.2321383953094482,0.00016451027811366386,1.1363636363636362,800,,,,,,,,,,,,,,,,,,,,,
0.2264,1.9145784378051758,0.00016148730350665056,1.2073863636363638,850,,,,,,,,,,,,,,,,,,,,,
0.2131,2.8034005165100098,0.00015846432889963724,1.2784090909090908,900,,,,,,,,,,,,,,,,,,,,,
0.2047,2.79380464553833,0.00015544135429262394,1.3494318181818181,950,,,,,,,,,,,,,,,,,,,,,
0.1782,0.9790776371955872,0.00015241837968561065,1.4204545454545454,1000,,,,,,,,,,,,,,,,,,,,,
0.2362,0.6401517391204834,0.00014939540507859735,1.4914772727272727,1050,,,,,,,,,,,,,,,,,,,,,
0.2086,1.5991575717926025,0.00014637243047158405,1.5625,1100,,,,,,,,,,,,,,,,,,,,,
0.2041,2.465139389038086,0.00014334945586457073,1.6335227272727273,1150,,,,,,,,,,,,,,,,,,,,,
0.2021,1.858439326286316,0.00014032648125755746,1.7045454545454546,1200,,,,,,,,,,,,,,,,,,,,,
0.207,2.167572498321533,0.00013730350665054413,1.7755681818181817,1250,,,,,,,,,,,,,,,,,,,,,
0.2128,2.534158706665039,0.00013428053204353084,1.8465909090909092,1300,,,,,,,,,,,,,,,,,,,,,
0.174,2.4461357593536377,0.00013125755743651754,1.9176136363636362,1350,,,,,,,,,,,,,,,,,,,,,
0.1914,2.469291925430298,0.00012823458282950424,1.9886363636363638,1400,,,,,,,,,,,,,,,,,,,,,
,,,2.0,1408,0.21138711273670197,0.9284,0.9467248908296944,0.9018302828618968,0.9237324243715381,1.6516,1513.642,47.831,,,,,,,,,,,,,
0.1976,3.779287815093994,0.00012521160822249094,2.059659090909091,1450,,,,,,,,,,,,,,,,,,,,,
0.17,4.01700496673584,0.00012218863361547762,2.1306818181818183,1500,,,,,,,,,,,,,,,,,,,,,
0.1896,2.3688793182373047,0.00011916565900846432,2.2017045454545454,1550,,,,,,,,,,,,,,,,,,,,,
0.1801,3.4259841442108154,0.00011614268440145104,2.2727272727272725,1600,,,,,,,,,,,,,,,,,,,,,
0.1697,0.43020910024642944,0.00011311970979443773,2.34375,1650,,,,,,,,,,,,,,,,,,,,,
0.1954,2.8406736850738525,0.00011009673518742443,2.4147727272727275,1700,,,,,,,,,,,,,,,,,,,,,
0.194,1.7324422597885132,0.00010707376058041112,2.4857954545454546,1750,,,,,,,,,,,,,,,,,,,,,
0.1815,1.9506624937057495,0.00010405078597339784,2.5568181818181817,1800,,,,,,,,,,,,,,,,,,,,,
0.1741,3.1612257957458496,0.00010102781136638453,2.627840909090909,1850,,,,,,,,,,,,,,,,,,,,,
0.1841,0.7890974879264832,9.800483675937122e-05,2.6988636363636362,1900,,,,,,,,,,,,,,,,,,,,,
0.1648,2.1179370880126953,9.498186215235792e-05,2.7698863636363638,1950,,,,,,,,,,,,,,,,,,,,,
0.1919,3.550960063934326,9.195888754534462e-05,2.840909090909091,2000,,,,,,,,,,,,,,,,,,,,,
0.1656,1.8997396230697632,8.893591293833132e-05,2.9119318181818183,2050,,,,,,,,,,,,,,,,,,,,,
0.1592,4.873932361602783,8.591293833131801e-05,2.9829545454545454,2100,,,,,,,,,,,,,,,,,,,,,
,,,3.0,2112,0.19463974237442017,0.9304,0.9500875656742557,0.9026622296173045,0.9257679180887372,1.6376,1526.651,48.242,,,,,,,,,,,,,
0.1807,1.0515990257263184,8.288996372430472e-05,3.053977272727273,2150,,,,,,,,,,,,,,,,,,,,,
0.155,2.22998309135437,7.986698911729142e-05,3.125,2200,,,,,,,,,,,,,,,,,,,,,
0.1559,2.538146495819092,7.684401451027812e-05,3.196022727272727,2250,,,,,,,,,,,,,,,,,,,,,
0.1772,4.087040424346924,7.382103990326483e-05,3.2670454545454546,2300,,,,,,,,,,,,,,,,,,,,,
0.162,5.761590480804443,7.079806529625151e-05,3.3380681818181817,2350,,,,,,,,,,,,,,,,,,,,,
