loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second
1.6773,1.18301260471344,9.799999999999998e-05,0.1,50,,,,,,,,,,,,,,,,,,,,,
1.5732,1.453216314315796,0.000198,0.2,100,,,,,,,,,,,,,,,,,,,,,
1.2953,2.128166913986206,0.000298,0.3,150,,,,,,,,,,,,,,,,,,,,,
0.9215,2.080338478088379,0.0002937446808510638,0.4,200,,,,,,,,,,,,,,,,,,,,,
0.694,2.7631075382232666,0.00028736170212765954,0.5,250,,,,,,,,,,,,,,,,,,,,,
0.5482,2.243856191635132,0.0002809787234042553,0.6,300,,,,,,,,,,,,,,,,,,,,,
0.5245,3.6906349658966064,0.00027459574468085104,0.7,350,,,,,,,,,,,,,,,,,,,,,
0.4879,3.0049304962158203,0.0002682127659574468,0.8,400,,,,,,,,,,,,,,,,,,,,,
0.4078,2.1860690116882324,0.00026182978723404254,0.9,450,,,,,,,,,,,,,,,,,,,,,
0.435,1.9721683263778687,0.00025544680851063826,1.0,500,,,,,,,,,,,,,,,,,,,,,
,,,1.0,500,0.30060240626335144,0.9,0.872369839226183,0.8748779251352318,0.8719772929094297,1.8712,1068.85,33.669,,,,,,,,,,,,,
0.2937,2.4263250827789307,0.00024906382978723404,1.1,550,,,,,,,,,,,,,,,,,,,,,
0.3515,4.0262041091918945,0.00024268085106382976,1.2,600,,,,,,,,,,,,,,,,,,,,,
0.3136,2.507134199142456,0.0002362978723404255,1.3,650,,,,,,,,,,,,,,,,,,,,,
0.2865,3.225043296813965,0.00022991489361702124,1.4,700,,,,,,,,,,,,,,,,,,,,,
0.312,1.1258468627929688,0.000223531914893617,1.5,750,,,,,,,,,,,,,,,,,,,,,
0.2513,4.14652681350708,0.00021714893617021276,1.6,800,,,,,,,,,,,,,,,,,,,,,
0.3009,2.399451494216919,0.0002107659574468085,1.7,850,,,,,,,,,,,,,,,,,,,,,
0.2834,2.522451400756836,0.0002043829787234042,1.8,900,,,,,,,,,,,,,,,,,,,,,
0.2804,2.1371030807495117,0.000198,1.9,950,,,,,,,,,,,,,,,,,,,,,
0.2501,4.5650787353515625,0.00019161702127659574,2.0,1000,,,,,,,,,,,,,,,,,,,,,
,,,2.0,1000,0.21992352604866028,0.915,0.899214826558777,0.8703521724876812,0.881302973135837,0.9543,2095.86,66.02,,,,,,,,,,,,,
0.2588,2.542395830154419,0.00018523404255319146,2.1,1050,,,,,,,,,,,,,,,,,,,,,
0.2343,3.4301505088806152,0.00017885106382978724,2.2,1100,,,,,,,,,,,,,,,,,,,,,
0.2024,6.411602020263672,0.00017246808510638296,2.3,1150,,,,,,,,,,,,,,,,,,,,,
0.2253,1.5152617692947388,0.0001660851063829787,2.4,1200,,,,,,,,,,,,,,,,,,,,,
0.2212,2.6086409091949463,0.00015970212765957444,2.5,1250,,,,,,,,,,,,,,,,,,,,,
0.1908,2.2799887657165527,0.00015331914893617021,2.6,1300,,,,,,,,,,,,,,,,,,,,,
0.2031,2.1741061210632324,0.00014693617021276594,2.7,1350,,,,,,,,,,,,,,,,,,,,,
0.1967,3.46625018119812,0.0001405531914893617,2.8,1400,,,,,,,,,,,,,,,,,,,,,
